"Plot6"
"Time (sec)","Linear Velocity2 (inch/sec)"
0,2.85266662398839
0.04,2.24997874933621
0.08,1.58895350119186
0.12,0.894656320739898
0.16,0.191211333201478
0.2,-0.500897771553649
0.24,-1.16605004354601
0.28,-1.79345376626385
0.32,-2.3763612966399
0.36,-2.91101923664873
0.4,-3.39567703469352
0.44,-3.82980312371747
0.48,-4.21353708406822
0.52,-4.54734526622996
0.56,-4.83182794416453
0.6,-5.06762853920779
0.64,-5.25540605968669
0.68,-5.3958434222332
0.72,-5.48967387288828
0.76,-5.53771469391365
0.8,-5.54090208788598
0.84,-5.50032414792569
0.88,-5.41725068854435
0.92,-5.29315983667005
0.96,-5.12976194678092
1,-4.9290217746541
1.04,-4.69317999074709
1.08,-4.42477501201068
1.12,-4.12666564914082
1.16,-3.80205395007468
1.2,-3.4545054970323
1.24,-3.08796089286796
1.28,-2.70672716366327
1.32,-2.31543218918081
1.36,-1.91892183200975
1.4,-1.52208328028563
1.44,-1.12959489932192
1.48,-0.745633330048981
1.52,-0.373601743588229
1.56,-0.0159570714444036
1.6,0.325809268899502
1.64,0.651037049839945
1.68,0.959663624389549
1.72,1.25196864445266
1.76,1.52836080747828
1.8,1.78923715656661
1.84,2.03491500721306
1.88,2.26561977550456
1.92,2.48150810674097
1.96,2.68270909080483
2,2.86937187960296
2.04,3.04171289546732
2.08,3.20005913402698
2.12,3.34488587858154
2.16,3.47684780375951
2.2,3.59680227220277
2.24,3.70582280736876
2.28,3.80519931754321
2.32,3.89641961866751
2.36,3.98112409004191
2.4,4.06102188506055
2.44,4.13775320364035
2.48,4.21267837989669
2.52,4.28657250785734
2.56,4.35920705618226
2.6,4.42881250563135
2.64,4.49144567655568
2.68,4.54033968689834
2.72,4.56539599210147
2.76,4.55307364143361
2.8,4.48699817156762
2.84,4.34957400943094
2.88,4.12465397560934
2.92,3.80087974429769
2.96,3.37480494675317
3,2.85266662424421
3.04,2.2499787493362
3.08,1.58895350119184
3.12,0.894656320739883
3.16,0.191211333201462
3.2,-0.500897771553662
3.24,-1.16605004354603
3.28,-1.79345376626387
3.32,-2.37636129663991
3.36,-2.91101923664874
3.4,-3.39567703469353
3.44,-3.82980312371749
3.48,-4.21353708406824
3.52,-4.54734526622997
3.56,-4.83182794416454
3.6,-5.0676285392078
3.64,-5.2554060596867
3.68,-5.39584342223321
3.72,-5.48967387288828
3.76,-5.53771469391365
3.8,-5.54090208788598
3.84,-5.50032414792568
3.88,-5.41725068854435
3.92,-5.29315983667005
3.96,-5.12976194678091
4,-4.9290217746541
4.04,-4.69317999074708
4.08,-4.42477501201067
4.12,-4.12666564914082
4.16,-3.80205395007467
4.2,-3.45450549703229
4.24,-3.08796089286794
4.28,-2.70672716366327
4.32,-2.3154321891808
4.36,-1.91892183200974
4.4,-1.52208328028561
4.44,-1.1295948993219
4.48,-0.745633330048965
4.52,-0.373601743588214
4.56,-0.01595707144439
4.6,0.325809268899522
4.64,0.651037049839965
4.68,0.959663624389558
4.72,1.25196864445268
4.76,1.52836080747829
4.8,1.78923715656663
4.84,2.03491500721307
4.88,2.26561977550457
4.92,2.48150810674099
4.96,2.68270909080485
5,2.86937187960297
5.04,3.04171289546733
5.08,3.20005913402698
5.12,3.34488587858156
5.16,3.47684780375952
5.2,3.59680227220278
5.24,3.70582280736877
5.28,3.80519931754322
5.32,3.89641961866751
5.36,3.98112409004192
5.4,4.06102188506055
5.44,4.13775320364036
5.48,4.2126783798967
5.52,4.28657250785735
5.56,4.35920705618227
5.6,4.42881250563136
5.64,4.49144567655569
5.68,4.54033968689834
5.72,4.56539599210147
5.76,4.5530736414336
5.8,4.48699817156763
5.84,4.34957400943093
5.88,4.12465397560933
5.92,3.80087974429766
5.96,3.37480494675315
6,2.85266662424422
